Designator,Footprint,Quantity,Value,LCSC Part #
C6,0603,1, CL10B104KA8NNNC,C1590
C7,0805,1, CL21B103KBANNNC,C1710
C8,0603,1, CL10B104KA8NNNC,C1590
D1,1206,1,KT-1206R,C49018
D10,1206,1,KT-1206R,C49018
D11,1206,1,KT-1206R,C49018
D14,1206,1,KT-1206R,C49018
D15,1206,1,KT-1206R,C49018
D18,1206,1,KT-1206R,C49018
D19,1206,1,KT-1206R,C49018
D2,1206,1,KT-1206R,C49018
D20,1206,1,KT-1206R,C49018
D23,1206,1,KT-1206R,C49018
D24,1206,1,KT-1206R,C49018
D27,1206,1,KT-1206R,C49018
D28,1206,1,KT-1206R,C49018
D3,1206,1,KT-1206R,C49018
D31,1206,1,KT-1206R,C49018
D32,1206,1,KT-1206R,C49018
D35,1206,1,KT-1206R,C49018
D36,1206,1,KT-1206R,C49018
D37,1206,1,KT-1206R,C49018
D4,1206,1,KT-1206R,C49018
D40,1206,1,KT-1206R,C49018
D41,1206,1,KT-1206R,C49018
D44,1206,1,KT-1206R,C49018
D45,1206,1,KT-1206R,C49018
D48,1206,1,KT-1206R,C49018
D49,1206,1,KT-1206R,C49018
D5,1206,1,KT-1206R,C49018
D50,1206,1,KT-1206R,C49018
D53,1206,1,KT-1206R,C49018
D54,1206,1,KT-1206R,C49018
D55,1206,1,KT-1206R,C49018
D56,1206,1,KT-1206R,C49018
D6,1206,1,KT-1206R,C49018
D7,1206,1,KT-1206R,C49018
D12,1206,1,KT-1206R,C49018
D13,1206,1,KT-1206R,C49018
D16,1206,1,KT-1206R,C49018
D17,1206,1,KT-1206R,C49018
D21,1206,1,KT-1206R,C49018
D22,1206,1,KT-1206R,C49018
D25,1206,1,KT-1206R,C49018
D26,1206,1,KT-1206R,C49018
D29,1206,1,KT-1206R,C49018
D30,1206,1,KT-1206R,C49018
D33,1206,1,KT-1206R,C49018
D34,1206,1,KT-1206R,C49018
D38,1206,1,KT-1206R,C49018
D39,1206,1,KT-1206R,C49018
D42,1206,1,KT-1206R,C49018
D43,1206,1,KT-1206R,C49018
D46,1206,1,KT-1206R,C49018
D47,1206,1,KT-1206R,C49018
D51,1206,1,KT-1206R,C49018
D52,1206,1,KT-1206R,C49018
D57,1206,1,KT-1206R,C49018
D58,1206,1,KT-1206R,C49018
D59,1206,1,KT-1206R,C49018
D60,1206,1,KT-1206R,C49018
D61,1206,1,KT-1206R,C49018
D62,1206,1,KT-1206R,C49018
D63,1206,1,KT-1206R,C49018
D8,1206,1,KT-1206R,C49018
D9,1206,1,KT-1206R,C49018
R5,0603,1, 0603WAF1004T5E,C22935
R8,0603,1, 0603WAF1004T5E,C22935
R9,0603,1, 0603WAF1004T5E,C22935
R10,0603,1, 0603WAF1004T5E,C22935
R11,0603,1, 0603WAF1004T5E,C22935
R12,0603,1, 0603WAF2002T5E,C4184
